2023-03-18 19:50:52,537 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('www',), {}. Вызов из модуля __main__
2023-03-18 19:50:52,537 DEBUG      client.py Сформировано presence сообщение для пользователя www
2023-03-18 19:50:52,537 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49080), raddr=('127.0.0.1', 7772)>, {'action': 'presence', 'time': 1679154652.537516, 'user': {'account_name': 'www'}}), {}. Вызов из модуля utils
2023-03-18 19:50:52,537 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49080), raddr=('127.0.0.1', 7772)>,), {}. Вызов из модуля utils
2023-03-18 19:50:53,038 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 19:50:53,038 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 19:50:53,038 INFO       client.py Принят ответ от сервера 200 : OK
2023-03-18 19:50:53,039 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49080), raddr=('127.0.0.1', 7772)>,), {}. Вызов из модуля utils
2023-03-18 19:50:53,039 DEBUG      client.py Запущены процессы
2023-03-18 19:51:03,617 DEBUG      client.py Сформирован словарь сообщения: {'action': 'message', 'from': 'www', 'to': 'www', 'time': 1679154663.6176293, 'mess_text': 'ffffff'}
2023-03-18 19:51:03,617 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49080), raddr=('127.0.0.1', 7772)>, {'action': 'message', 'from': 'www', 'to': 'www', 'time': 1679154663.6176293, 'mess_text': 'ffffff'}), {}. Вызов из модуля utils
2023-03-18 19:51:03,618 INFO       client.py Отправлено сообщение для пользователя www
2023-03-18 20:11:03,804 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 20:11:13,008 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7772, режим работы: test1
2023-03-18 20:11:15,305 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('test1',), {}. Вызов из модуля __main__
2023-03-18 20:11:15,305 DEBUG      client.py Сформировано presence сообщение для пользователя test1
2023-03-18 20:11:15,305 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57226), raddr=('127.0.0.1', 7772)>, {'action': 'presence', 'time': 1679155875.305515, 'user': {'account_name': 'test1'}}), {}. Вызов из модуля utils
2023-03-18 20:11:15,853 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57226), raddr=('127.0.0.1', 7772)>,), {}. Вызов из модуля utils
2023-03-18 20:11:15,854 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 20:11:15,854 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 20:11:16,300 INFO       client.py Принят ответ от сервера 200 : OK
2023-03-18 20:11:29,334 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57226), raddr=('127.0.0.1', 7772)>,), {}. Вызов из модуля utils
2023-03-18 20:12:23,960 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 20:12:26,650 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7772, режим работы: test1
2023-03-18 20:12:26,650 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('test1',), {}. Вызов из модуля __main__
2023-03-18 20:12:26,650 DEBUG      client.py Сформировано presence сообщение для пользователя test1
2023-03-18 20:12:26,650 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 44198), raddr=('127.0.0.1', 7772)>, {'action': 'presence', 'time': 1679155946.650553, 'user': {'account_name': 'test1'}}), {}. Вызов из модуля utils
